r1,s1,r2,s2,r3,s3,r4,s4,r5,s5,r6,s6,r7,s7,r8,s8,r9,s9,r10,s10
(Henry Edward Manning; birthPlace; Totteridge),"[2]Manning was born on 15 July 1808 at his grandfather's home, Copped Hall, Totteridge, Hertfordshire.",(Mary I of England; spouse; Philip II of Spain),"[95] This style, which had been in use since 1554, was replaced when Philip inherited the Spanish Crown in 1556 with ""Philip and Mary, by the Grace of God King and Queen of England, Spain, France, both the Sicilies, Jerusalem and Ireland, Defenders of the Faith, Archdukes of Austria, Dukes of Burgundy, Milan and Brabant, Counts of Habsburg, Flanders and Tyrol"".",(Malin Persson; spouse; Damiano Mazzarella),"She lives in Rome with her husband Damiano Mazzarella and her son Tiago.Persson has worked for designers such as Chanel, Karl Lagerfeld, Dior, Givenchy and Dolce & Gabbana.","(Elizabeth H. Roberts; birthDate; April 17, 1957)","She was elected as a Democrat in 2006, becoming the state's first female Lieutenant Governor and was succeeded by Daniel McKee on January 6, 2015.Roberts was born April 17, 1957 in Washington, DC.",(Natalie Portman; spouse; Benjamin Millepied),"She is married to the dancer Benjamin Millepied, with whom she has two children.Portman was born on June 9, 1981, in Jerusalem.",(Reza Shah; hypernym; Shah),[63]Not all observers agree that the Shah minimized foreign influence.,(Cangrande II della Scala; spouse; Elizabeth of Bavaria),"In 1350 he married Elizabeth, daughter of Emperor Louis IV of Bavaria and Margaret II, Countess of Hainault.Cangrande, nicknamed Can Rabbioso (""Raging Dog"") ruled Verona with iron fist, amassing rich treasures for his illegitimate sons and impoverishing the city.",(Benjamin Netanyahu; birthPlace; Israel),"[280]Under Netanyahu's leadership, the Israeli National Security Council has seen an expanded role in foreign policy planning and decision-making.","(Louis Frederick I, Prince of Schwarzburg-Rudolstadt; birthPlace; Rudolstadt)","From 15 April 1711, he styled himself Prince of Schwarzburg-Rudolstadt.",(Shula Marks; birthPlace; Cape Town),[1]She was born Shula Eta Winokur in Cape Town and educated at the University of Cape Town (BA) and the University of London (PhD).
(Mary I of England; spouse; Philip II of Spain),"[166] Philip spent most of his time abroad, while his wife remained in England, leaving her depressed at his absence and undermined by their inability to have children.",(Jean-Robert de Cavel; hypernym; Chef),"[4][5]De Cavel worked in Zermatt,[1] Antibes, the British West Indies, and New York City before moving to Cincinnati in 1993 to become Chef de cuisine at The Maisonette,[7] which earned 5 stars from Mobil during his time there.",(Carol Ann Duffy; spouse; Peter Benson),"[44][45] During her relationship with Kay, Duffy gave birth to a daughter, Ella, whose biological father is fellow poet Peter Benson.","(Louis Günther II, Prince of Schwarzburg-Rudolstadt; spouse; Sophie Henrietta Reuss-Untergreiz)","Louis Günther II of Schwarzburg-Rudolstadt (also known as Louis Günther IV), (22 October 1708 in Rudolstadt – 29 August 1790, Rudolstadt) was the ruling prince of Schwarzburg-Rudolstadt from 1767 until his death.Louis Günther II of Schwarzburg-Rudolstadt was the youngest son of Prince Louis Frederick I of Schwarzburg-Rudolstadt and his wife Anna Sophie of Saxe-Gotha-Altenburg.",(Ernst Moritz Hess; hypernym; Jew),"Hess survived this first purge of Jews owing to the ""front-line fighters' privilege"" (Frontkämpferprivileg) he was able to invoke as a consequence of his war service.","(Johnny Crawford; birthDate; March 26, 1946)","John Ernest Crawford (born March 26, 1946) is an American actor, singer, and musician.","(Rudolph Bunner; birthDate; August 17, 1779)","Rudolph Bunner (August 17, 1779 – July 16, 1837) was a U.S. Representative from New York who married the granddaughter of Revolutionary War General Philip Schuyler.Rudolph Brunner was born on August 17, 1779 in Savannah, New York to George Bunner and Jane Cuyler.",(Carl XVI Gustaf of Sweden; hypernym; King),"At the cabinet meeting, the King declared that his name would be Carl XVI Gustaf and that his title would be King of Sweden.","(Henry VI, Burgrave of Plauen; spouse; Anna of Pomerania-Stettin)","When they had to repay the loan, they found that the money wasn't there (Henry VI was accused of having spent it) and as a result, the heartland of Plauen, the Lordships of Plauen and Oelsnitz and the district Schöneck were forever lost to Saxony.In preparation for his marriage on 9 April 1564 at Fallersleben to Princess Catherine of Brunswick-Lüneburg-Gifhorn (born: 1548 in Gifhorn; died: 10 December 1565 in Schleiz) he pledged the district of Pausa to a citizen in Leipzig, who sold the claims in 1569 to Elector August of Saxony.On 27 August 1566 Henry married again, this time with Anna of Pomerania-Stettin (born: 5 February 1531 in Stettin; died 13 October 1592 in Rosenburg).",(Margrethe II of Denmark; birthPlace; Amalienborg),"She has been on the Danish throne for 47 years, becoming the second-longest-reigning Danish monarch after her ancestor Christian IV.Princess Margrethe was born 16 April 1940 at Amalienborg in Copenhagen as the first child of the Crown Prince and Crown Princess (later King Frederick IX and Queen Ingrid)."
(Auguste of Schleswig-Holstein-Sonderburg-Glücksburg; hypernym; Princess),"Augustenborg palace, and as a consequence the nearby town, were named in honor of her.The great-granddaughter of king Christian III of Denmark, she was the third daughter, eighth by birth, of Philip, Duke of Schleswig-Holstein-Sonderburg-Glücksburg and Princess Sophia Hedwig of Saxe-Lauenburg.",(Albert Pattengill; hypernym; Professor),"Angell sent Pattengill as Michigan's representative at the conference, and the press reported on Pattengill's departure as follows:""Professor Albert H. Pattengill, chairman of the Western intercollegiate conference and head of the faculty board of athletic control at the University of Michigan has been appointed by President James B. Angell, as Michigan's representative at the special conference on foot ball, called by Dr. Angell.",(Henry Koster; birthPlace; Berlin),"After working initially as a short story writer, Kosterlitz was subsequently hired by a Berlin movie company as scenarist, became assistant to director Curtis Bernhardt.",(Reza Shah; hypernym; Shah),"[42] While Persians are only one of several ethnic groups in Iran, their home province Pars was a center of political power in ancient times under the Achaemenid Empire and Sasanian Empire as well as other Iranian dynasties, hence the somewhat misleading usage of the name Persia (in other countries) up to 1935 when referring to Iran as a whole.Support for the Shah came principally from three sources.","(Anna Maria of Solms-Sonnewalde; spouse; Philip Ernest, Count of Hohenlohe-Langenburg)","Anna Maria, Countess of Solms-Sonnewalde (24 January 1585 in Sonnewalde – 20 November 1634 in Ottweiler) was Countess of Soms-Sonnewalde by birth and by marriage Countess of Hohenlohe-Langenburg.Anna Maria was born as the third daughter of Count Otto of Solms-Sonnewalde (1550-1612), and his wife Anna, (1560-1635), the eldest daughter of Albert, Count of Nassau-Weilburg.On 15 January 1609, she married Count Philip Ernest of Hohenlohe-Langenburg (1584-1628), the son of Count Wolfgang of Hohenlohe-Neunstein.","(Johnny Crawford; birthPlace; Los Angeles, California)","Crawford first performed before a national audience as a Mouseketeer.Crawford was born in Los Angeles, the son of Betty (née Megerlin) and Robert Lawrence Crawford, Sr. His maternal grandparents were Belgian; his maternal grandfather was violinist Alfred Eugene Megerlin.",(Duke Peter Georgievich of Oldenburg; hypernym; Duke),"The Pas d'Esclave from the ballet Le Corsaire, which is taken from his score for this work, is still heard in theatres all over the world.Duke Peter was born on 26 August 1812 in Yaroslavl, Russia.",(Srđan Dragojević; hypernym; Director),"[10]In late March 1999, a week after NATO started bombing Serbia, Dragojević boarded a bus to Budapest with his wife and their two kids and went to New York City where he had a scheduled screening of Rane organized by the Film Society of Lincoln Center at the Museum of Modern Art[11][12] as part of its annual 28th New Director's/New Films series.","(Carolyn Kizer; birthDate; December 10, 1925)","Carolyn Ashley Kizer (December 10, 1925 – October 9, 2014) was an American poet of the Pacific Northwest whose works reflect her feminism.",(Ellen Barkin; hypernym; Actress),"[10]Barkin has also done work in made-for-television films like Before Women Had Wings (1997), for which she won an Emmy as Outstanding Lead Actress in a Miniseries or Movie and The White River Kid (1999)."
(Judy Ann Santos; spouse; Ryan Agoncillo),"[171] Santos next role, was in the television sitcom George and Cecil alongside Ryan Agoncillo,[172][173] as a dominating policewoman married to a submissive school teacher.","(Sophia of Hanover; spouse; Ernest Augustus, Elector of Brunswick-Lüneburg)","They were:Sophia was absent for almost a year, 1664–65, during a long holiday with Ernest Augustus in Italy but she corresponded regularly with her sons' governess and took a great interest in her sons' upbringing, even more so on her return.",(Richard Chartres; spouse; Caroline McLintock),"[17]Chartres is an ambassador for wildlife charity WWF and a patron of various other organisations, including:In 1982, Chartres married Caroline (daughter of Sir Alan McLintock), then a freelance writer and now the commissioning editor of a publishing house, with whom he has four children; Alexander, Sophie, Louis and Clio.",(Huang Biren; birthPlace; Singapore),"She then completed her GCE Advanced Level examinations at Ang Mo Kio Secondary School (Pre-U Centre).In 1996, Huang married Adrian Quek, currently a Senior Assistant Commissioner of the Singapore Police Force, after dating him for two years.","(Thomas H. Carter; birthPlace; Junior Furnace, Ohio)","The Carters settled in Junior Furnace, Ohio by 1852 when their first son, Richard, was born.",(Elizabeth Wolley; spouse; John Wolley),"[17] In 1614 the bodies of Elizabeth Wolley, her second husband, Sir John Wolley, and their son, Sir Francis Wolley, were reburied 'between St. George's Chappel and that of our Lady' in Old St Paul's Cathedral, and a magnificent monument was erected there to their memories at a cost of £4,000.",(Anusheh Asad; spouse; Asad Muzaffar),[2] Anusheh Asad married Asad Muzaffar in 2007.,(May Robson; birthPlace; Moama),"[2]Mary Jeanette Robison was born on 19 April 1858 in Moama, New South Wales, Australia,[3][a] in what Robson described as ""the Australian bush"".",(V. T. Sambanthan; birthPlace; Sungai Siput),"Sambanthan Thevar contested the Sungai Siput seat and won comfortably.The Alliance swept 51 of the 52 seats, the exception being a seat in Perak.",(Benjamin Netanyahu; spouse; Sara Netanyahu),"Netanyahu and Sara repaired their marriage, and he was elected to the leadership of Likud."
"(Prince Aimone, Duke of Aosta; hypernym; Prince)","Prince Aimone also established a Croatian office in Rome where he received confidential reports, official documents, and military, political and economic information from Croatia.",(Sally Brophy; hypernym; Broadway),"Sally Cullen Brophy (December 14, 1928 – September 18, 2007) was a Broadway and television actress and college theatre arts professor.Brophy was born in Phoenix, Arizona and was one of seven children.",(Lovely Warren; hypernym; Mayor),"Lovely Ann Warren (born July 1, 1977) is an American politician, and lawyer who is the 69th and current Mayor of Rochester, New York.",(Lady Bird Johnson; hypernym; Lady),"[14] The lake was renamed Lady Bird Lake on July 26, 2007.",(Maria Hinojosa; birthPlace; Mexico City),"[7]Hinojosa's first journalism experience was as host of a Latino radio show while she was a student at Barnard College, where she graduated magna cum laude with a degree in Latin American studies in 1985.Maria Hinojosa was born in Mexico City, but moved with her family to the Chicago neighborhood of Hyde Park in 1962 after her father, Dr. Raul Hinojosa, was appointed to the surgical faculty at the University of Chicago.",(Jean Simmons; birthPlace; London),[8]On her return to London - Jean enrolled at the Aida Foster School of Dance.,(Sam H. Jones; hypernym; Governor),"Bob Jones and his son, Sam Houston Jones, II, named for his grandfather, are Lake Charles stockbrokers.Governor and Mrs. Jones are interred at Prien Memorial Park Cemetery in Lake Charles.",(Caroline of Brunswick; spouse; George IV of the United Kingdom),"[69] George refused to write to Caroline to inform her, leaving it for their son-in-law Leopold to do, but Leopold was deep in grief and delayed writing.","(William Grant, Lord Grant; hypernym; Advocate)","[13] He succeeded William Rankine Milligan who had been promoted to Lord Advocate to replace James Latham Clyde, who had been raised to the bench as a Senator of the College of Justice in the place of Lord Cooper.",(Empress Wanrong; spouse; Puyi),[2]Quotation during their phone call in the afternoon from Puyi to Wanrong:[3][4]Wanrong's marriage to Puyi turned out to be an unhappy one.
"(Buddy Landel; birthPlace; Knoxville, Tennessee)",[7]In 2005 he worked at NWA Rocky Top promotion in Knoxville doing color commentary with Tony Basilio.Landel was honored as Most Influential WWF/WCW Wrestler from Kentucky by the state's governor and made a Kentucky Colonel in 1990.,(Bill Rowling; hypernym; Minister),"[citation needed]Although Rowling served as Minister of Foreign Affairs, the Labour Government concentrated primarily on domestic affairs.",(Royce S. Pitkin; hypernym; Pitkin),"[4] The Goddard College philosophy established by Pitkin was initially founded on four principles:In his quest to get to the root of education Pitkin and his colleagues at Goddard did away with the grading system, written examinations, required courses, credits, fraternities, athletics, honor rolls, and diplomas.",(Juhi Chawla; spouse; Jay Mehta),"Since 1995 she has been married to industrialist Jay Mehta, with whom she has two children.Juhi Chawla was born on 13 November 1967 and raised in Ambala, Haryana, India.","(Albert Pattengill; birthDate; February 26, 1842)","Albert Henderson Pattengill (February 26, 1842 – March 16, 1906) was an American professor of Greek.",(Denis O'Hare; spouse; Hugo Redwood),"In 2015, O'Hare played a hotel worker, Liz Taylor on the fifth season of the series, American Horror Story: Hotel, and in 2016 he was Dr. Elias Cunningham on the sixth season, American Horror Story: Roanoke.O'Hare is openly gay and has been married to designer Hugo Redwood since July 28, 2011,[12] and the couple has an adopted son, Declan.",(Dina Bonnevie; hypernym; Actress),"[3]Other notable films where Bonnevie showed maturity as an actress include: Tinik sa Dibdib (1985), for which she won Best Supporting Actress at the Filipino Academy of Movie Arts and Sciences (FAMAS) and Film Academy of the Philippines (FAP) awarding ceremonies; Magdusa Ka (1986), for which she was given Best Actress awards by FAMAS, FAP and Catholic Mass Media Awards; Gumapang ka sa Lusak (1990), directed by Lino Brocka, for which she was nominated by FAMAS and URIAN Awards for Best Actress; and Sa Kabila ng Lahat (1991), for which she was nominated by FAMAS, FAP and Urian Awards for Best Actress.Other acting nominations are for Kung Kasalanan Man (1989), FAMAS; Bakit Kay Tagal ng Sandali?",(Trajan; birthPlace; Spain),[citation needed]In the 18th-century King Charles III of Spain commissioned Anton Raphael Mengs to paint The Triumph of Trajan on the ceiling of the banquet hall of the Royal Palace of Madrid – considered among the best works of this artist.,(Margaret of York; spouse; Charles the Bold),"Because of this, Charles sent his close advisor, Guillaume de Clugny, to London weeks after the death of his wife, to propose to Edward IV a marriage between himself and Margaret.",(Benjamin Netanyahu; birthPlace; Israel),"Sharon and Netanyahu came to an agreement that Netanyahu would have complete freedom as Finance Minister and have Sharon back all of his reforms, in exchange for Netanyahu's silence over Sharon's management of Israel's military and foreign affairs."
(Constans II; hypernym; Emperor),"Constans led a fleet to attack the Muslims at Phoinike (off Lycia) in 655 at the Battle of the Masts, but he was defeated: 500 Byzantine ships were destroyed in the battle, and the Emperor himself was almost killed.",(James K. Polk; ; University of North Carolina at Chapel Hill),"[8][9][10]In January 1816, Polk was admitted into the University of North Carolina at Chapel Hill as a second-semester sophomore.","(William S. Taylor; birthDate; October 10, 1853)","Taylor died in Indianapolis, Indiana in 1928.William Taylor was born October 10, 1853 in a log cabin on the Green River, about five miles from Morgantown, Kentucky.",(Félix Houphouët-Boigny; spouse; Marie-Thérèse Houphouët-Boigny),"They both died in 1958.The marriage was not without scandal: in 1958, Marie-Thérèse went on a romantic escapade in Italy,[19] while in 1961, Houphouët-Boigny fathered a child (Florence, d. 2007) out of wedlock by his mistress Henriette Duvignac.",(Larry Bryggman; spouse; Jacqueline Schultz),"[6] He also appeared in the original 1976 Broadway cast of Checking Out.Beginning on August 27, 2010, Bryggman returned to ATWT for 12 episodes, before the show finished its run on September 17, 2010.From 1982–1987, he was married to As the World Turns co-star Jacqueline Schultz.",(Mohammad Hamid Ansari; hypernym; President),Ansari refused to say more when asked about his prospects in the August 2007 Vice-Presidential election.,(Lee Young-ae; birthPlace; Seoul),"[25][26]In 2012, Lee launched a business handling organic and environmentally friendly products for children in Seoul.",(Zein al-Sharaf Talal; hypernym; Queen),Zein al-Sharaf Talal (2 August 1916 – 26 April 1994) was the Queen of Jordan as the wife of King Talal.,(Caroline of Brunswick; spouse; George IV of the United Kingdom),[25] The press vilified George for his extravagance and luxury at a time of war and portrayed Caroline as a wronged wife.,"(Patti Hansen; birthDate; March 17, 1956)","Patricia ""Patti"" Hansen (born March 17, 1956) is an American model and actress.Hansen, who is of Norwegian ancestry, was born and raised in Tottenville, Staten Island, the youngest of six children."
(Frederick V of Denmark; birthPlace; Copenhagen),"[2]On 1 August 1771, five years after the king's death, an equestrian statue of Frederick V dressed in the garb of a Roman emperor by the French sculptor Jacques François Joseph Saly was unveiled in Amalienborg Square in Copenhagen.The town of Frederiksværk on the island of Zealand, the town of Frederiksted on the island of St. Croix, U.S. Virgin Islands, as well as the district Frederiksstaden in Copenhagen are named after Frederick V. The city of Serampore in the Indian state of West Bengal was known under the name Frederiksnagore from 1755 to 1845 when it was part of Danish India, and the city of Paamiut in Greenland was formerly known as Frederikshaab, both in his honor.Within one hundred years of his time, Denmark faced the crisis of his male issue (the main branch of the Royal House) becoming extinct.","(Morton McMichael; birthPlace; Burlington, New Jersey)","[1]Born in Burlington, NJ to John and Hannah McMichael, he moved to Philadelphia while still young.",(Denise Trauth; hypernym; President),"[1] On June 11, 2002, Texas State Board of Regents voted unanimously in favor of Trauth beginning her term as President.",(Neysa McMein; spouse; John C. Baragwanath),"[2] John Baragwanath, her husband, stated that she chose the name Neysa after meeting one of Homer Davenport's fillies at his stables.",(Richard Dietz; spouse; Kelley Dietz),"[2]Dietz is married to Kelley Dietz, a Roanoke, Virginia native.","(Juhi Chawla; birthDate; November 13, 1967)","Juhi Chawla (born 13 November 1967) is an Indian actress, model, film producer, and the winner of the 1984 Miss India beauty pageant.",(Antony Leung; birthPlace; Hong Kong),"Following his resignation, however, the Fest became mired in controversy regarding the chaotic arrangements made with overseas artists like the Rolling Stones, and the financial relationship between the government and the American Chamber of Commerce in Hong Kong to which inexperienced body had been entrusted the Fest's organisation.Henry Tang, who became Financial Secretary after Leung, said in a TV interview on 29 October 2008 that the contracts between the government and AmCham were signed when Leung was still in office.",(Sam H. Jones; hypernym; Governor),"Sam Houston Jones (July 15, 1897 – February 8, 1978) was the 46th Governor of Louisiana for the term from 1940 to 1944.","(Glenn Close; birthPlace; Greenwich, Connecticut)","[4]During her childhood, Close lived with her parents in a stone cottage on her maternal grandfather's estate in Greenwich.",(Philippa of England; spouse; Eric of Pomerania),[4]Queen Philippa and King Eric lived in Kalmar Castle in Sweden with their court the first three years of their marriage.
(Ester Ellqvist; spouse; John Bauer),"Ruth ""Ester"" Elisabet Ellqvist (4 October 1880 – 20 November 1918) was a Swedish artist, model and wife of John Bauer, who was a painter and illustrator.",(Jack Black; hypernym; Actor),"[20]Jack garnered a second Golden Globe Award nomination, this time in the category Best Actor in a Comedy, for his 2011 starring role in Richard Linklater's black comedy, Bernie, as real-life murderer Bernie Tiede, a funeral director in a small East Texas town, who befriends and eventually murders a rich widow, played by Shirley MacLaine.","(Zaifeng, Prince Chun; hypernym; Prince)",He served as Prince-Regent from 1908–11 during the reign of his son until the Qing dynasty was overthrown by the Xinhai Revolution in 1911.Zaifeng was born in the Aisin Gioro clan as the fifth son of Yixuan (Prince Chun).,(Madhu Goud Yaskhi; spouse; Shuchee Madhu),"In 2009, he was re-elected from the same constituency, and in 2014 defeated by K. Kavitha of Telangana Rashtra Samithi.He founded Madhu Yaskhi Foundation in 2003 and donates a portion of his income to the foundation to provide financial assistance to the poor farmers and educate their children up to 12th standard and also to provide health care facilities with the assistance of his wife Dr. Shuchee Yaskhi.","(Empress Wanrong; birthDate; November 13, 1906)","Wanrong (13 November 1906 – 20 June 1946), posthumously known as Empress Xiaokemin, was the Empress Consort of Puyi, the Last Emperor of China and final ruler of the Manchu-led Qing dynasty.",(Tom Conti; hypernym; Actor),"He was nominated for an Academy Award for Best Actor for the 1983 film, Reuben, Reuben.Conti was born in Paisley, Renfrewshire, the son of hairdressers Mary (née McGoldrick) and Alfonso Conti.",(Miriam Yeung; hypernym; Actress),"[5][6]In 2011, Yeung won her first Best Actress award for Perfect Wedding at the 17th Hong Kong Film Critics Society Award.","(Cowboy Morgan Evans; birthPlace; Archer County, Texas)","Cowboy Evan's championship is recorded in the Rodeo Hall of Fame at the National Cowboy & Western Heritage Museum in Oklahoma City, Oklahoma.Charlie Morgan Evans was born to rancher Andrew Jackson Evans, Sr., and his wife Grace Morgan in the community of Huff, Texas in Archer County.",(Constance Towers; spouse; John Gavin),"In 1958, Towers was cast in her first lead role as Hannah Hunter in John Ford's civil war film The Horse Soldiers (1959), opposite John Wayne and William Holden.",(Sarah Lancashire; birthPlace; Oldham),"She was appointed an Officer of the Order of the British Empire (OBE) in the 2017 Birthday Honours for services to drama.Sarah-Jane Abigail Lancashire[1] was born on 10 October 1964 in Oldham, Lancashire."
(Tomás Pedro Regalado; birthPlace; Havana),"Regalado was elected mayor on November 3, 2009, and sworn in on November 11.Born in Havana, Cuba, on May 24, 1947, Tomás Pedro Regalado was the first-born child of Tomás Regalado Molina and Carmen Rita Váldez de Regalado.",(Chris Coons; hypernym; United),"[7]Coons clerked for Judge Jane Richards Roth on the United States Court of Appeals for the Third Circuit, and then worked for the National ""I Have a Dream"" Foundation in New York.","(Matthias Shepler; birthDate; November 11, 1790)","Matthias Shepler (November 11, 1790 – April 7, 1863) was a U.S. Representative from Ohio.Born in Westmoreland County, Pennsylvania, Shepler received a limited schooling.",(Edith Windsor; hypernym; Lesbian),"[9]On Windsor's 70th birthday in 1999, the Edie Windsor Fund for Old Lesbians was gifted to Windsor by Spyer and their friends.",(Trevor Howard; spouse; Helen Cherry),"The story, which surfaced in Terence Pettigrew's biography of the actor, published by Peter Owen in 2001, was initially denied by Howard's widow, actress Helen Cherry.",(Ferdinand VI of Spain; birthPlace; Spain),In 1750 José de Carvajal helped Spain and Portugal strike a deal.,(Gladys Mills Phipps; hypernym; United),"Gladys Livingston Mills Phipps (June 19, 1883 - October 19, 1970) was a United States socialite, sportsperson, and a thoroughbred racehorse owner and breeder who began the Phipps family dynasty in American horse racing.",(Enrique Peña Nieto; birthPlace; Mexico),"""[82][83]Peña Nieto and Trump were to meet on 26 January 2017, until Trump wrote on his Twitter account: ""If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting"".",(Angela Paton; spouse; Bob Goldsby),"[7] She appeared in 38 films and over 50 TV series.Paton lived in Los Angeles with her husband, Bob Goldsby,[7] a professor at UC Berkeley's Department of Drama, a stage director with A.C.T., and first director of its conservatory program.",(Countess Palatine Maria Anna of Zweibrücken-Birkenfeld; hypernym; Palatine),"Maria Anna was a great-grandmother of Empress Elisabeth of Austria through his son Duke Pius August in BavariaMaria Anna was born in Schwetzingen, as the second daughter of Count Palatine Frederick Michael of Palatinate-Zweibrücken-Birkenfeld-Bischweiler and his wife, Countess Palatine Maria Francisca of Palatinate-Sulzbach."
"(Enrique Peña Nieto; birthDate; July 20, 1966)","[3][4]Enrique Peña Nieto was born on 20 July 1966 in Atlacomulco, State of Mexico, a city 55 miles (89 km) northwest of Mexico City.",(Lucille Ball; spouse; Desi Arnaz),"[3] A year and a half later, Ball gave birth to her second child, Desiderio Alberto Arnaz IV, known as Desi Arnaz, Jr.[4] Before he was born, I Love Lucy was a solid ratings hit, and Ball and Arnaz wrote the pregnancy into the show.",(Lynn Boylan; birthPlace; Dublin),"[10]Boylan is the partner of Eoin Ó Broin, who has been the Sinn Féin TD for Dublin Mid-West since 2016.","(Suharto; birthDate; June 8, 1921)","[13]Suharto was born on 8 June 1921 during the Dutch East Indies era, in a plaited-bamboo-walled house in the hamlet of Kemusuk, a part of the larger village of Godean.",(Betty Bumpers; spouse; Dale Bumpers),"[3][4]Dale Bumpers entered the U.S. Senate in 1975, and the couple moved to Washington, D.C..[9] Two years later, when Jimmy Carter arrived in Washington as the new President, Betty Bumpers sought his support for a nationwide program of childhood immunization and enlisted the assistance of First Lady Rosalynn Carter.",(Muzzammil Hassan; hypernym; American),"""[11] The Hassans received an award for this effort from the Council on American-Islamic Relations in 2007.",(Reza Shah; hypernym; Shah),"This included the destruction of Reza Shah's mausoleum, but they were unable to find his dead body.","(Nancy Astor, Viscountess Astor; hypernym; Member)","Nancy Witcher Langhorne Astor, Viscountess Astor, CH (19 May 1879 – 2 May 1964) was an American-born British politician and the first female Member of Parliament (MP) to take her seat.Astor was an American citizen who moved to England at age 26 and married Waldorf Astor.",(Nicolas Mathieu Rieussec; birthPlace; Paris),"183, Rue de Grenelle-Saint-Germain, now Rue de Grenelle.Nicolas Mathieu Rieussec died at his home at 60 Avenue du Bel-Air in Paris, in 1866.",(Auguste of Schleswig-Holstein-Sonderburg-Glücksburg; hypernym; Princess),Princess Augusta of Schleswig-Holstein-Sonderburg-Glücksburg (27 June 1633 – 26 May 1701) was a Danish-German princess of the senior Glücksburg line of the Duke of Schleswig-Holstein.
(Gwen Raverat; birthPlace; Cambridge),"There is a memorial to Raverat in Harlton Church, Cambridgeshire, where her family and friends donated towards the restoration of the church in her memory.Cambridge and the people associated with it remained very much the centre of her life.","(Daniel Hoffman; birthDate; April 3, 1923)","Daniel Gerard Hoffman (April 3, 1923 – March 30, 2013) was an American poet, essayist, and academic.","(Beatrice Shilling; birthDate; March 8, 1909)",Beatrice (Tilly) Shilling OBE PhD MSc CEng (8 March 1909 – 18 November 1990)[1] was a British aeronautical engineer and amateur racing driver.,"(Prince Aimone, Duke of Aosta; hypernym; Prince)","[20]After being romantically linked with Infanta Beatriz of Spain the daughter of King Alfonso XIII,[21] he married, on 1 July 1939 in Florence, Princess Irene of Greece and Denmark the daughter of King Constantine I and Princess Sophie of Prussia.",(Bennie Lee Sinclair; spouse; Don Lewis),[6]Sinclair married sculptor Don Lewis in 1958.,(Enrique Peña Nieto; birthPlace; Mexico),"During Del Mazo González's campaign in 1981, the fifteen-year-old Peña Nieto had his first direct contact with Mexican politics: he began delivering campaign literature in favor of his relative, a memory Peña Nieto recalls as the turning point and start of his deep interest in politics.In 1984 at the age of 18, Peña Nieto traveled to Mexico City and enrolled in the Panamerican University, where he earned a Bachelor of Arts (BA) degree in legal studies.","(Jimmy Makar; birthDate; March 24, 1956)","Jimmy Makar (born March 24, 1956) is the Senior Vice President of Racing Operations at Joe Gibbs Racing.","(Nicolas Mathieu Rieussec; birthDate; July 20, 1781)","Nicolas Mathieu Rieussec (July 20, 1781 – June 18, 1866) was a French watchmaker.The Rieussec family's birthplace was the town of Lespinassière.",(Dixie Bibb Graves; birthPlace; United States),"Dixie Bibb Graves (July 26, 1882 – January 21, 1965) was a First Lady from the state of Alabama, and the first woman United States Senator from Alabama.Dixie Bibb was born on July 26, 1882, outside Montgomery, Alabama to Peyton and Isabel Thorpe Bibb on the family plantation.",(Duke Peter Georgievich of Oldenburg; hypernym; Duke),"Being in direct line of succession to the throne of Oldenburg, as their uncle the hereditary Grand Duke Augustus was unmarried at the time, both boys were given the same extensive education by their grandfather Duke Peter as he had given his own sons and were regularly sent on instructive trips around Germany to broaden their education."
(Creighton Hale; birthPlace; County Cork),"[2]Born in County Cork, Ireland, Hale was educated in Dublin and London, and later attended Ardingly College in Sussex.",(Otto Vincent Lange; hypernym; Lange),"Also, Otto Vincent Lange had a brother Ulrik Frederik Lange who was an educator and five-term member of Parliament.","(Nicole, Duchess of Lorraine; spouse; Charles IV, Duke of Lorraine)","Five days later, he abdicated in favor of his son, who became Duke Charles IV of Lorraine.",(Kelly Preston; spouse; John Travolta),[18]Preston first met John Travolta in 1987 while filming The Experts.,"(Boris Babochkin; birthDate; January 18, 1904)",Boris Andreyevich Babochkin (Russian: Бори́с Андре́евич Ба́бочкин; 18 January 1904 – 17 July 1975) was a well-known Soviet film and theatre actor and director.,(Lillian Hoban; spouse; Phoebe Hoban),"Hoban also collaborated with her oldest daughter Phoebe on two books, Ready-Set-Robot!",(Tito Sotto; hypernym; Actor),[2][3]Actors Oyo Boy Sotto and Miko Sotto (1982–2003) are his nephews.,(Judy Ann Santos; hypernym; Film),"[191] The film was screened at the 8th Cinemalaya Philippine Independent Film Festival and was well received by critics, with Santos' performance earning positive reviews.",(Bill Rowling; hypernym; Minister),"Rowling's term as Minister of Finance was somewhat turbulent; from late in 1973, a series of externally generated crises, of which the 'oil shocks' were the most serious, destabilised the New Zealand economy.",(Jonah Kūhiō Kalanianaʻole; hypernym; Prince),"[6] Two of Hawaii's public schools also honor the memory of Prince Jonah Kuhio Kalanianaole: Prince Jonah Kuhio Elementary School in Honolulu and Prince Jonah Kuhio Kalanianaole Elementary and Intermediate School in Papaikou, Hawaii, near Hilo on the Island of Hawaii."
